,acronym,name,color_hex_triplet,graph_order,id,structure_id_path
553,ACAd2/3,"Anterior cingulate area, dorsal part, layer 2/3",40A666,228,211,/997/8/567/688/695/315/31/39/211/
554,POST3,"Postsubiculum, layer 3",48C83C,530,10698,/997/8/567/688/695/1089/822/1037/10698/
555,PoT,Posterior triangular thalamic nucleus,FF8084,651,563807435,/997/8/343/1129/549/864/637/563807435/
556,SPVO,"Spinal nucleus of the trigeminal, oral part",FFA5D2,956,445,/997/8/343/1065/354/386/445/
557,TTv,"Taenia tecta, ventral part",62D09F,405,605,/997/8/567/688/695/698/589/605/
558,DGcr-sg,"Dentate gyrus crest, granule cell layer",7ED04B,481,758,/997/8/567/688/695/1089/1080/726/734/758/
559,grv of CBX,grooves of the cerebellar cortex,AAAAAA,1310,1040,/997/1024/1040/
560,CA2,Field CA2,7ED04B,462,423,/997/8/567/688/695/1089/1080/375/423/
561,MEApd-a,"Medial amygdalar nucleus, posterodorsal part, sublayer a",80C0E2,604,472,/997/8/567/623/477/278/403/426/472/
562,VISal4,"Anterolateral visual area, layer 4",08858C,167,1114,/997/8/567/688/695/315/669/402/1114/
563,BA,Bed nucleus of the accessory olfactory tract,80C0E2,594,292,/997/8/567/623/477/278/292/
564,ORBl6a,"Orbital area, lateral part, layer 6a",248A5E,262,440,/997/8/567/688/695/315/714/723/440/
565,VI,Abducens nucleus,FFB3D9,965,653,/997/8/343/1065/354/370/653/
566,VISmmp5,"Mediomedial posterior visual area,layer 5",1AA698,315,480149302,/997/8/567/688/695/315/254/894/480149286/480149302/
567,PRMgr,"Paramedian lobule, granular layer",ECE754,1083,10681,/997/8/512/528/1073/1025/10681/
568,SSp-m6b,"Primary somatosensory area, mouth, layer 6b",188064,78,2,/997/8/567/688/695/315/453/322/345/2/
569,LSS,Lateral strip of striatum,80CDF8,584,549009199,/997/8/567/623/477/493/549009199/
570,snp,striatonigral pathway,CCCCCC,1224,309,/997/1009/1000/760/309/
571,MDRNd,"Medullary reticular nucleus, dorsal part",FFB3D9,986,1098,/997/8/343/1065/354/370/395/1098/
572,PRMpu,"Paramedian lobule, Purkinje layer",FFFC91,1082,10682,/997/8/512/528/1073/1025/10682/
573,VISmmp6b,"Mediomedial posterior visual area, layer 6b",1AA698,317,480149310,/997/8/567/688/695/315/254/894/480149286/480149310/
574,VISmma5,"Mediomedial anterior visual area,layer 5",1AA698,308,480149274,/997/8/567/688/695/315/254/894/480149258/480149274/
575,vtd,ventral tegmental decussation,CCCCCC,1231,397,/997/1009/1000/863/397/
576,VISrll6b,"Rostrolateral lateral visual area, layer 6b",188064,64,480149226,/997/8/567/688/695/315/453/322/329/480149202/480149226/
577,MPNm,"Medial preoptic nucleus, medial part",FF4C3E,779,756,/997/8/343/1129/1097/467/515/756/
578,ORBl1,"Orbital area, lateral part, layer 1",248A5E,259,448,/997/8/567/688/695/315/714/723/448/
579,RAmb,Midbrain raphe nuclei,FFA6FF,868,165,/997/8/343/313/348/165/
580,IntG,Intermediate geniculate nucleus,FF909F,706,563807439,/997/8/343/1129/549/856/1014/563807439/
581,IG,Induseum griseum,7ED04B,491,19,/997/8/567/688/695/1089/1080/19/
582,"CUL4, 5gr","Lobules IV-V, granular layer",ECE754,1045,10720,/997/8/512/528/645/928/1091/10720/
583,MO2/3,"Somatomotor areas, Layer 2/3",1F9D5A,14,219,/997/8/567/688/695/315/500/219/
584,ENTl5,"Entorhinal area, lateral part, layer 5",32B825,503,139,/997/8/567/688/695/1089/822/909/918/139/
585,pcf,preculminate fissure,AAAAAA,1312,1095,/997/1024/1040/1095/
586,PFLgr,"Paraflocculus, granular layer",ECE754,1091,10687,/997/8/512/528/1073/1041/10687/
587,AUDpo5,"Posterior auditory area, layer 5",019399,147,791,/997/8/567/688/695/315/247/1027/791/
588,VISpor4,"Postrhinal area, layer 4",08858C,216,312782640,/997/8/567/688/695/315/669/312782628/312782640/
589,INV,Interstitial nucleus of the vestibular nerve,FFB3D9,1009,76,/997/8/343/1065/354/370/76/
590,SSp-tr6a,"Primary somatosensory area, trunk, layer 6a",188064,91,9,/997/8/567/688/695/315/453/322/361/9/
591,CENT2gr,"Lobule II, granular layer",ECE754,1028,10708,/997/8/512/528/645/920/976/10708/
592,AUDv6b,"Ventral auditory area, layer 6b",019399,156,598,/997/8/567/688/695/315/247/1018/598/
593,MPO,Medial preoptic area,FF5547,744,523,/997/8/343/1129/1097/141/523/
594,PPY,Parapyramidal nucleus,FFB3D9,998,1069,/997/8/343/1065/354/370/1069/
595,VISli6a,"Laterointermediate area, layer 6a",08858C,211,312782594,/997/8/567/688/695/315/669/312782574/312782594/
596,LSc,"Lateral septal nucleus, caudal (caudodorsal) part",90CBED,587,250,/997/8/567/623/477/275/242/250/
597,NOT,Nucleus of the optic tract,FF90FF,846,628,/997/8/343/313/323/1100/628/
598,BLAa,"Basolateral amygdalar nucleus, anterior part",9DE79C,563,303,/997/8/567/688/703/295/303/
599,PO,Posterior complex of the thalamus,FF909F,669,1020,/997/8/343/1129/549/856/138/1020/
600,LH,Lateral habenula,FF909F,713,186,/997/8/343/1129/549/856/958/186/
601,SCm,"Superior colliculus, motor related",FF90FF,830,294,/997/8/343/313/323/294/
602,VISrl5,"Rostrolateral area, layer 5",009FAC,357,312782616,/997/8/567/688/695/315/22/417/312782616/
603,alv,alveus,CCCCCC,1245,466,/997/1009/991/768/1099/466/
604,ENTl2,"Entorhinal area, lateral part, layer 2",32B825,496,20,/997/8/567/688/695/1089/822/909/918/20/
605,VIIn,facial nerve,CCCCCC,1130,798,/997/1009/967/798/
606,VIS1,"Visual areas, layer 1",08858C,158,801,/997/8/567/688/695/315/669/801/
607,SS4,"Somatosensory areas, layer 4",188064,33,12995,/997/8/567/688/695/315/453/12995/
608,PBG,Parabigeminal nucleus,FF7AFF,818,874,/997/8/343/313/339/874/
609,DN,Dentate nucleus,FFFDBC,1099,846,/997/8/512/519/846/
610,PAA,Piriform-amygdalar area,59DAAB,444,788,/997/8/567/688/695/698/788/
611,db,precommissural fornix diagonal band,CCCCCC,1249,420,/997/1009/991/768/1099/745/420/
612,MEApv,"Medial amygdalar nucleus, posteroventral part",80C0E2,607,435,/997/8/567/623/477/278/403/435/
613,EPd,"Endopiriform nucleus, dorsal part",A0EE9D,559,952,/997/8/567/688/703/942/952/
614,uf,uncinate fascicle,CCCCCC,1177,850,/997/1009/960/752/326/850/
615,SSp,Primary somatosensory area,188064,37,322,/997/8/567/688/695/315/453/322/
616,VISpor6b,"Postrhinal area, layer 6b",08858C,219,312782652,/997/8/567/688/695/315/669/312782628/312782652/
617,PBls,"Parabrachial nucleus, lateral division, superior lateral part",FFAE6F,896,883,/997/8/343/1065/771/1132/867/881/883/
618,oct,olivocerebellar tract,CCCCCC,1185,404,/997/1009/960/752/1123/490/404/
619,PVHam,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part",FF5D50,722,47,/997/8/343/1129/1097/157/38/71/47/
620,VISp1,"Primary visual area, layer 1",08858C,186,593,/997/8/567/688/695/315/669/385/593/
621,VISmmp1,"Mediomedial posterior visual area, layer 1",1AA698,312,480149290,/997/8/567/688/695/315/254/894/480149286/480149290/
622,ENTm2,"Entorhinal area, medial part, dorsal zone, layer 2",32B825,509,543,/997/8/567/688/695/1089/822/909/926/543/
623,MA3,Medial accesory oculomotor nucleus,FF90FF,855,549009211,/997/8/343/313/323/549009211/
624,SSp-ll5,"Primary somatosensory area, lower limb, layer 5",188064,69,1128,/997/8/567/688/695/315/453/322/337/1128/
625,AIv,"Agranular insular area, ventral part",219866,291,119,/997/8/567/688/695/315/95/119/
626,CENT2pu,"Lobule II, Purkinje layer",FFFC91,1027,10709,/997/8/512/528/645/920/976/10709/
627,PMv,Ventral premammillary nucleus,FF4C3E,781,1004,/997/8/343/1129/1097/467/1004/
628,6b,"Layer 6b, isocortex",8ADA87,556,16,/997/8/567/688/703/16/
629,AUDp5,"Primary auditory area, layer 5",019399,140,847,/997/8/567/688/695/315/247/1002/847/
630,In,olfactory nerve,CCCCCC,1105,840,/997/1009/967/840/
631,PH,Posterior hypothalamic nucleus,FF4C3E,792,946,/997/8/343/1129/1097/467/946/
632,ccr,"corpus callosum, rostrum",CCCCCC,1197,979,/997/1009/983/776/979/
633,SOCl,"Superior olivary complex, lateral part",FFAE6F,905,114,/997/8/343/1065/771/1132/398/114/
634,SCzo,"Superior colliculus, zonal layer",FF7AFF,811,834,/997/8/343/313/339/302/834/
635,DMHa,"Dorsomedial nucleus of the hypothalamus, anterior part",FF5547,740,668,/997/8/343/1129/1097/141/830/668/
636,RN,Red nucleus,FF90FF,853,214,/997/8/343/313/323/214/
637,VISm,Medial visual area,1AA698,318,480149314,/997/8/567/688/695/315/254/894/480149314/
638,ORBl5,"Orbital area, lateral part, layer 5",248A5E,261,630,/997/8/567/688/695/315/714/723/630/
639,NLOT1-3,"Nucleus of the lateral olfactory tract, layers 1-3",95E4C8,422,392,/997/8/567/688/695/698/619/392/
640,IIIn,oculomotor nerve,CCCCCC,1119,832,/997/1009/967/832/
641,SUV,Superior vestibular nucleus,FFB3D9,1005,217,/997/8/343/1065/354/370/701/217/
642,MY,Medulla,FF9BCD,935,354,/997/8/343/1065/354/
643,VISpor6a,"Postrhinal area, layer 6a",08858C,218,312782648,/997/8/567/688/695/315/669/312782628/312782648/
644,ACAd6b,"Anterior cingulate area, dorsal part, layer 6b",40A666,231,927,/997/8/567/688/695/315/31/39/927/
645,ab,angular path,CCCCCC,1257,474,/997/1009/991/768/1099/474/
646,ECT,Ectorhinal area,0D9F91,373,895,/997/8/567/688/695/315/895/
647,NPC,Nucleus of the posterior commissure,FF90FF,847,634,/997/8/343/313/323/1100/634/
648,PBl,"Parabrachial nucleus, lateral division",FFAE6F,892,881,/997/8/343/1065/771/1132/867/881/
649,VISrll,Rostrolateral lateral visual area,188064,58,480149202,/997/8/567/688/695/315/453/322/329/480149202/
650,BSTal,"Bed nuclei of the stria terminalis, anterior division, anterolateral area",B3C0DF,623,537,/997/8/567/623/803/809/351/359/537/
651,AD,Anterodorsal nucleus,FF909F,679,64,/997/8/343/1129/549/856/239/64/
652,sm,stria medullaris,CCCCCC,1285,802,/997/1009/991/824/1083/802/
653,stp,spinotectal pathway,CCCCCC,1167,277,/997/1009/967/871/277/
654,rstl,"retriculospinal tract, lateral part",CCCCCC,1235,205,/997/1009/1000/855/205/
655,IIn,optic nerve,CCCCCC,1112,848,/997/1009/967/848/
656,LGd-co,"Dorsal part of the lateral geniculate complex, core",FF8084,664,496345668,/997/8/343/1129/549/864/1008/170/496345668/
657,ACAv,"Anterior cingulate area, ventral part",40A666,232,48,/997/8/567/688/695/315/31/48/
658,OT,Olfactory tubercle,80CDF8,577,754,/997/8/567/623/477/493/754/
659,SNr,"Substantia nigra, reticular part",FF90FF,822,381,/997/8/343/313/323/381/
660,ENTl4,"Entorhinal area, lateral part, layer 4",32B825,501,92,/997/8/567/688/695/1089/822/909/918/92/
661,CP,Caudoputamen,98D6F9,573,672,/997/8/567/623/477/485/672/
662,PVHap,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",FF5D50,728,55,/997/8/343/1129/1097/157/38/94/55/
663,SSp-ul6b,"Primary somatosensory area, upper limb, layer 6b",188064,85,1026,/997/8/567/688/695/315/453/322/369/1026/
664,SUBv,"Subiculum, ventral part",4FC244,540,518,/997/8/567/688/695/1089/822/502/518/
665,FRP5,"Frontal pole, layer 5",268F45,9,526157192,/997/8/567/688/695/315/184/526157192/
666,FLpu,"Flocculus, Purkinje layer",FFFC91,1094,10691,/997/8/512/528/1073/1049/10691/
667,em,external medullary lamina of the thalamus,CCCCCC,1212,1092,/997/1009/983/896/1092/
668,AP,Area postrema,FFA5D2,937,207,/997/8/343/1065/354/386/207/
669,vhc,ventral hippocampal commissure,CCCCCC,1255,449,/997/1009/991/768/1099/618/449/
670,PBlc,"Parabrachial nucleus, lateral division, central lateral part",FFAE6F,893,860,/997/8/343/1065/771/1132/867/881/860/
671,COApl1-2,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2",61E7B7,433,584,/997/8/567/688/695/698/631/647/655/584/
672,SSp-m4,"Primary somatosensory area, mouth, layer 4",188064,75,950,/997/8/567/688/695/315/453/322/345/950/
673,TR2,"Postpiriform transition area, layers 2",A8ECD3,452,1141,/997/8/567/688/695/698/566/1141/
674,CBXmo,"Cerebellar cortex, molecular layer",FFFC91,1016,1144,/997/8/512/528/1144/
675,mct,medial corticohypothalamic tract,CCCCCC,1251,428,/997/1009/991/768/1099/737/428/
676,VNC,Vestibular nuclei,FFB3D9,1001,701,/997/8/343/1065/354/370/701/
677,MOp2/3,"Primary motor area, Layer 2/3",1F9D5A,20,943,/997/8/567/688/695/315/500/985/943/
678,VISpl,Posterolateral visual area,08858C,192,425,/997/8/567/688/695/315/669/425/
679,dl,dorsolateral fascicle,CCCCCC,1151,570,/997/1009/967/792/932/570/
680,PVH,Paraventricular hypothalamic nucleus,FF5D50,720,38,/997/8/343/1129/1097/157/38/
681,VISpm1,"posteromedial visual area, layer 1",08858C,200,805,/997/8/567/688/695/315/669/533/805/
682,IA,Intercalated amygdalar nucleus,80C0E2,599,1105,/997/8/567/623/477/278/1105/
683,IMD,Intermediodorsal nucleus of the thalamus,FF909F,684,59,/997/8/343/1129/549/856/444/59/
684,CLI,Central linear nucleus raphe,FFA6FF,880,591,/997/8/343/313/348/165/591/
685,LTN,Lateral tegmental nucleus,FFBA86,909,283,/997/8/343/1065/771/987/283/
686,mfbsm,midbrain related,CCCCCC,1289,70,/997/1009/991/824/70/
687,CUL4gr,"Lobule IV, granular layer",ECE754,1037,10714,/997/8/512/528/645/928/992/10714/
688,DP1,"Dorsal peduncular area, layer 1",A4DAA4,411,496,/997/8/567/688/695/698/814/496/
689,DR,Dorsal nucleus raphe,FFA6FF,881,872,/997/8/343/313/348/165/872/
690,NODpu,"Nodulus (X), Purkinje layer",FFFC91,1064,10736,/997/8/512/528/645/968/10736/
691,BAC,Bed nucleus of the anterior commissure,B3C0DF,638,287,/997/8/567/623/803/809/287/
692,IVd,trochlear nerve decussation,CCCCCC,1123,384,/997/1009/967/911/384/
693,NI,Nucleus incertus,FFC395,930,604,/997/8/343/1065/771/1117/604/
694,csc,superior colliculus commissure,CCCCCC,1115,336,/997/1009/967/848/336/
695,lotg,"lateral olfactory tract, general",CCCCCC,1107,21,/997/1009/967/840/21/
696,TEa6b,"Temporal association areas, layer 6b",15B0B3,366,786,/997/8/567/688/695/315/541/786/
697,icp,inferior cerebellar peduncle,CCCCCC,1180,1123,/997/1009/960/752/1123/
698,ntt,nigrothalamic fibers,CCCCCC,1222,109,/997/1009/1000/760/109/
699,AHN,Anterior hypothalamic nucleus,FF4C3E,757,88,/997/8/343/1129/1097/467/88/
700,ILA5,"Infralimbic area, layer 5",59B363,249,827,/997/8/567/688/695/315/44/827/
701,IPDM,"Interpeduncular nucleus, dorsomedial",FFA6FF,876,607344854,/997/8/343/313/348/165/100/607344854/
702,TU,Tuberal nucleus,F2483B,801,614,/997/8/343/1129/1097/290/614/
703,ccb,"corpus callosum, body",CCCCCC,1198,484682516,/997/1009/983/776/484682516/
704,PVHpml,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",FF5D50,725,652,/997/8/343/1129/1097/157/38/71/103/652/
705,ACAv6a,"Anterior cingulate area, ventral part, 6a",40A666,236,810,/997/8/567/688/695/315/31/48/810/
706,SUBv-sr,"Subiculum, ventral part, stratum radiatum",4FC244,543,861,/997/8/567/688/695/1089/822/502/518/861/
707,RSPv6a,"Retrosplenial area, ventral part, layer 6a",1AA698,337,590,/997/8/567/688/695/315/254/886/590/
708,SOCm,"Superior olivary complex, medial part",FFAE6F,904,105,/997/8/343/1065/771/1132/398/105/
709,VISmma4,"Mediomedial anterior visual area, layer 4",1AA698,307,480149270,/997/8/567/688/695/315/254/894/480149258/480149270/
710,STRd,Striatum dorsal region,98D6F9,572,485,/997/8/567/623/477/485/
711,CSl,"Superior central nucleus raphe, lateral part",FFC395,926,137,/997/8/343/1065/771/1117/679/137/
712,pri,primary fissure,AAAAAA,1313,1103,/997/1024/1040/1103/
713,mtg,mammillotegmental tract,CCCCCC,1280,681,/997/1009/991/824/46/681/
714,VMPO,Ventromedial preoptic nucleus,FF5547,754,576073699,/997/8/343/1129/1097/141/576073699/
715,SSs5,"Supplemental somatosensory area, layer 5",188064,104,1090,/997/8/567/688/695/315/453/378/1090/
716,GU6a,"Gustatory areas, layer 6a",009C75,112,638,/997/8/567/688/695/315/1057/638/
717,SH,Septohippocampal nucleus,90CBED,591,333,/997/8/567/623/477/275/333/
718,MOs1,"Secondary motor area, layer 1",1F9D5A,25,656,/997/8/567/688/695/315/500/993/656/
719,root,root,FFFFFF,0,997,/997/
720,VISli4,"Laterointermediate area, layer 4",08858C,209,312782586,/997/8/567/688/695/315/669/312782574/312782586/
721,LGd,Dorsal part of the lateral geniculate complex,FF8084,662,170,/997/8/343/1129/549/864/1008/170/
722,SSp6b,"Primary somatosensory area, layer 6b",188064,43,719,/997/8/567/688/695/315/453/322/719/
723,ANcr1,Crus 1,FFFC91,1072,1056,/997/8/512/528/1073/1017/1056/
724,VISrl6a,"Rostrolateral area, layer 6a",009FAC,358,312782620,/997/8/567/688/695/315/22/417/312782620/
725,LS,Lateral septal nucleus,90CBED,586,242,/997/8/567/623/477/275/242/
726,mfb,medial forebrain bundle,CCCCCC,1262,54,/997/1009/991/824/54/
727,mp,mammillary peduncle,CCCCCC,1281,673,/997/1009/991/824/46/673/
728,RSPv6b,"Retrosplenial area, ventral part, layer 6b",1AA698,338,622,/997/8/567/688/695/315/254/886/622/
729,OT2,"Olfactory tubercle, pyramidal layer",80CDF8,582,465,/997/8/567/623/477/493/754/465/
730,AAA,Anterior amygdalar area,80C0E2,593,23,/997/8/567/623/477/278/23/
731,AOBgl,"Accessory olfactory bulb, glomerular layer",9DF0D2,387,188,/997/8/567/688/695/698/151/188/
732,dhc,dorsal hippocampal commissure,CCCCCC,1254,443,/997/1009/991/768/1099/618/443/
733,PVpo,"Periventricular hypothalamic nucleus, preoptic part",FF5547,750,133,/997/8/343/1129/1097/141/133/
734,SSp-tr2/3,"Primary somatosensory area, trunk, layer 2/3",188064,88,670,/997/8/567/688/695/315/453/322/361/670/
735,VISl4,"Lateral visual area, layer 4",08858C,181,573,/997/8/567/688/695/315/669/409/573/
736,SSp-n,"Primary somatosensory area, nose",188064,44,353,/997/8/567/688/695/315/453/322/353/
737,ias,intermediate acoustic stria,CCCCCC,1138,641,/997/1009/967/933/948/641/
738,DCN,Dorsal column nuclei,FFA5D2,943,720,/997/8/343/1065/354/386/720/
739,RSPd6b,"Retrosplenial area, dorsal part, layer 6b",1AA698,331,330,/997/8/567/688/695/315/254/879/330/
740,OV,Vascular organ of the lamina terminalis,FF5547,745,763,/997/8/343/1129/1097/141/763/
741,AUDd5,"Dorsal auditory area, layer 5",019399,126,252,/997/8/567/688/695/315/247/1011/252/
742,x,Nucleus x,FFB3D9,1006,765,/997/8/343/1065/354/370/765/
743,BSTju,"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",B3C0DF,627,546,/997/8/567/623/803/809/351/359/546/
744,VISa1,"Anterior area, layer 1",009FAC,347,312782550,/997/8/567/688/695/315/22/312782546/312782550/
745,DGlb,Dentate gyrus lateral blade,7ED04B,482,766,/997/8/567/688/695/1089/1080/726/766/
746,TEa4,"Temporal association areas, layer 4",15B0B3,363,234,/997/8/567/688/695/315/541/234/
747,MOB,Main olfactory bulb,9AD2BD,380,507,/997/8/567/688/695/698/507/
748,das,dorsal acoustic stria,CCCCCC,1139,506,/997/1009/967/933/948/506/
749,DMX,Dorsal motor nucleus of the vagus nerve,FFB3D9,973,839,/997/8/343/1065/354/370/839/
750,AUD,Auditory areas,019399,121,247,/997/8/567/688/695/315/247/
751,ILA6b,"Infralimbic area, layer 6b",59B363,251,1081,/997/8/567/688/695/315/44/1081/
752,PTLp,Posterior parietal association areas,009FAC,339,22,/997/8/567/688/695/315/22/
753,pvbt,periventricular bundle of the thalamus,CCCCCC,1283,722,/997/1009/991/824/1068/722/
754,BSTtr,"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",B3C0DF,636,594,/997/8/567/623/803/809/351/367/594/
755,FLmo,"Flocculus, molecular layer",FFFC91,1093,10692,/997/8/512/528/1073/1049/10692/
756,SUBd,"Subiculum, dorsal part",4FC244,536,509,/997/8/567/688/695/1089/822/502/509/
757,BLAp,"Basolateral amygdalar nucleus, posterior part",9DE79C,564,311,/997/8/567/688/703/295/311/
758,VISpl1,"Posterolateral visual area, layer 1",08858C,193,750,/997/8/567/688/695/315/669/425/750/
759,SSp-un5,"Primary somatosensory area, unassigned, layer 5",188064,97,182305705,/997/8/567/688/695/315/453/322/182305689/182305705/
760,SSp-n6a,"Primary somatosensory area, nose, layer 6a",188064,49,889,/997/8/567/688/695/315/453/322/353/889/
761,im,internal medullary lamina of the thalamus,CCCCCC,1213,14,/997/1009/983/896/14/
762,LINGgr,"Lingula (I), granular layer",ECE754,1023,10705,/997/8/512/528/645/912/10705/
763,LT,Lateral terminal nucleus of the accessory optic tract,FF90FF,861,66,/997/8/343/313/323/66/
764,cVIIIn,cochlear nerve,CCCCCC,1136,948,/997/1009/967/933/948/
765,NOD,Nodulus (X),FFFC91,1062,968,/997/8/512/528/645/968/
766,LM,Lateral mammillary nucleus,FF4C3E,763,210,/997/8/343/1129/1097/467/331/210/
767,PARN,Parvicellular reticular nucleus,FFB3D9,988,852,/997/8/343/1065/354/370/852/
768,ILA2/3,"Infralimbic area, layer 2/3",59B363,248,556,/997/8/567/688/695/315/44/556/
769,CB,Cerebellum,F0F080,1014,512,/997/8/512/
770,ANcr2,Crus 2,FFFC91,1076,1064,/997/8/512/528/1073/1017/1064/
771,iaf,internal arcuate fibers,CCCCCC,1158,396,/997/1009/967/792/932/514/396/
772,LGd-ip,"Dorsal part of the lateral geniculate complex, ipsilateral zone",FF8084,665,496345672,/997/8/343/1129/549/864/1008/170/496345672/
773,z,Nucleus z,FFA5D2,963,789,/997/8/343/1065/354/386/789/
774,SUT,Supratrigeminal nucleus,FFBA86,917,534,/997/8/343/1065/771/987/534/
775,CUL5mo,"Lobule V, molecular layer",FFFC91,1039,10719,/997/8/512/528/645/928/1001/10719/
776,fxs,fornix system,CCCCCC,1244,1099,/997/1009/991/768/1099/
777,OT1,"Olfactory tubercle, molecular layer",80CDF8,581,458,/997/8/567/623/477/493/754/458/
778,VISal2/3,"Anterolateral visual area, layer 2/3",08858C,166,905,/997/8/567/688/695/315/669/402/905/
779,PN,Paranigral nucleus,FF90FF,824,607344830,/997/8/343/313/323/607344830/
780,DMHv,"Dorsomedial nucleus of the hypothalamus, ventral part",FF5547,742,684,/997/8/343/1129/1097/141/830/684/
781,AHNa,"Anterior hypothalamic nucleus, anterior part",FF4C3E,758,700,/997/8/343/1129/1097/467/88/700/
782,SPVI,"Spinal nucleus of the trigeminal, interpolar part",FFA5D2,955,437,/997/8/343/1065/354/386/437/
783,stf,subthalamic fascicle,CCCCCC,1225,317,/997/1009/1000/760/317/
784,ORB5,"Orbital area, layer 5",248A5E,255,352,/997/8/567/688/695/315/714/352/
785,ENTl,"Entorhinal area, lateral part",32B825,494,918,/997/8/567/688/695/1089/822/909/918/
786,AMd,"Anteromedial nucleus, dorsal part",FF909F,677,1096,/997/8/343/1129/549/856/239/127/1096/
787,ENTl5/6,"Entorhinal area, lateral part, layer 5/6",32B825,504,387,/997/8/567/688/695/1089/822/909/918/387/
788,VISpl5,"Posterolateral visual area, layer 5",08858C,196,902,/997/8/567/688/695/315/669/425/902/
789,ORB1,"Orbital area, layer 1",248A5E,253,264,/997/8/567/688/695/315/714/264/
790,sec,secondary fissure,AAAAAA,1316,3,/997/1024/1040/3/
791,CH,Cerebrum,B0F0FF,2,567,/997/8/567/
792,MMme,"Medial mammillary nucleus, median part",FF4C3E,765,732,/997/8/343/1129/1097/467/331/491/732/
793,ttp,tectothalamic pathway,CCCCCC,1118,357,/997/1009/967/848/357/
794,TRN,Tegmental reticular nucleus,FFBA86,918,574,/997/8/343/1065/771/987/574/
795,AUDv1,"Ventral auditory area, layer 1",019399,151,959,/997/8/567/688/695/315/247/1018/959/
796,SSp-m,"Primary somatosensory area, mouth",188064,72,345,/997/8/567/688/695/315/453/322/345/
797,VISpl6a,"Posterolateral visual area, layer 6a",08858C,197,377,/997/8/567/688/695/315/669/425/377/
798,ppf,prepyramidal fissure,AAAAAA,1315,1119,/997/1024/1040/1119/
799,VS,ventricular systems,AAAAAA,1292,73,/997/73/
800,ACA6a,"Anterior cingulate area, layer 6a",40A666,224,179,/997/8/567/688/695/315/31/179/
801,STN,Subthalamic nucleus,F2483B,800,470,/997/8/343/1129/1097/290/470/
802,SS5,"Somatosensory areas, layer 5",188064,34,12996,/997/8/567/688/695/315/453/12996/
803,RE,Nucleus of reuniens,FF909F,694,181,/997/8/343/1129/549/856/571/181/
804,CENT,Central lobule,FFFC91,1024,920,/997/8/512/528/645/920/
805,SS6a,"Somatosensory areas, layer 6a",188064,35,12997,/997/8/567/688/695/315/453/12997/
806,MOp6b,"Primary motor area, Layer 6b",1F9D5A,23,882,/997/8/567/688/695/315/500/985/882/
807,AUDp2/3,"Primary auditory area, layer 2/3",019399,138,251,/997/8/567/688/695/315/247/1002/251/
808,RSPd4,"Retrosplenial area, dorsal part, layer 4",1AA698,328,545,/997/8/567/688/695/315/254/879/545/
809,PVT,Paraventricular nucleus of the thalamus,FF909F,692,149,/997/8/343/1129/549/856/571/149/
810,NIS,Nucleus intercalatus,FFB3D9,994,161,/997/8/343/1065/354/370/154/161/
811,"CUL4, 5mo","Lobules IV-V, molecular layer",FFFC91,1043,10722,/997/8/512/528/645/928/1091/10722/
812,CNU,Cerebral nuclei,98D6F9,570,623,/997/8/567/623/
813,PBld,"Parabrachial nucleus, lateral division, dorsal lateral part",FFAE6F,894,868,/997/8/343/1065/771/1132/867/881/868/
814,ee,"corpus callosum, extreme capsule",CCCCCC,1194,964,/997/1009/983/776/964/
815,SPVOrdm,"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part",FFA5D2,960,45,/997/8/343/1065/354/386/445/45/
816,LRN,Lateral reticular nucleus,FFB3D9,981,235,/997/8/343/1065/354/370/235/
817,VISa5,"Anterior area, layer 5",009FAC,350,312782562,/997/8/567/688/695/315/22/312782546/312782562/
818,SSp-ul1,"Primary somatosensory area, upper limb, layer 1",188064,80,450,/997/8/567/688/695/315/453/322/369/450/
819,AUDv,Ventral auditory area,019399,150,1018,/997/8/567/688/695/315/247/1018/
820,cm,cranial nerves,CCCCCC,1102,967,/997/1009/967/
821,TM,Tuberomammillary nucleus,FF4C3E,773,557,/997/8/343/1129/1097/467/331/557/
822,ProSd-sr,"Prosubiculum, dorsal part, stratum radiatum",58BA48,548,484682487,/997/8/567/688/695/1089/822/484682470/484682475/484682487/
823,POST2,"Postsubiculum, layer 2",48C83C,529,10697,/997/8/567/688/695/1089/822/1037/10697/
824,RR,"Midbrain reticular nucleus, retrorubral area",FF90FF,825,246,/997/8/343/313/323/246/
825,VISmma6b,"Mediomedial anterior visual area, layer 6b",1AA698,310,480149282,/997/8/567/688/695/315/254/894/480149258/480149282/
826,PDTg,Posterodorsal tegmental nucleus,FFBA86,910,599626927,/997/8/343/1065/771/987/599626927/
827,TTv2,"Taenia tecta, ventral part, layer 2",62D09F,408,1075,/997/8/567/688/695/698/589/605/1075/
828,COAa1,"Cortical amygdalar area, anterior part, layer 1",61E7B7,428,192,/997/8/567/688/695/698/631/639/192/
